Id,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"61991","2019-10-20 13:33:13","0","156","<regression><feature-engineering><prediction>","1",""
"61993","2019-10-20 14:16:06","2","1406","<machine-learning><statistics><variance>","2",""
"61998","2019-10-20 16:03:31","0","57","<deep-learning><keras><tensorflow><lstm>","1",""
"62000","2019-10-20 17:49:44","2","206","<python><keras><tensorflow><lstm><rnn>","1",""
"62002","2019-10-20 17:51:26","2","274","<python><scikit-learn><feature-extraction>","1",""
"62005","2019-10-20 18:58:18","1","1514","<nlp><word-embeddings><stanford-nlp>","1",""
"62006","2019-10-20 20:17:20","1","265","<machine-learning><python>","1",""
"62009","2019-10-21 02:05:49","2","663","<neural-network><deep-learning>","1",""
"62012","2019-10-21 06:33:19","1","155","<classification><learning>","0",""
"62014","2019-10-21 07:28:24","0","24","<machine-learning><neural-network><deep-learning><classification>","0",""
"62016","2019-10-21 08:17:44","0","102","<nlp><corpus><wikipedia>","0",""
"62026","2019-10-21 12:43:31","1","95","<machine-learning><statistics><cross-validation>","2",""
"62031","2019-10-21 13:06:32","0","3726","<statistics><random-forest><matrix>","1",""
"62033","2019-10-21 14:04:25","2","153","<machine-learning><neural-network><classification><nlp>","2",""
"62035","2019-10-21 14:33:17","2","292","<lstm><reinforcement-learning>","1",""
"62036","2019-10-21 15:02:28","0","1419","<python><time-series>","2",""
"62037","2019-10-21 15:38:14","2","179","<deep-learning><nlp><machine-translation><bert><neural-style-transfer>","0",""
"62038","2019-10-21 15:51:20","0","151","<logistic-regression><missing-data>","0",""
"62039","2019-10-21 16:03:58","1","17","<nlp><data-cleaning><twitter>","0",""
"62041","2019-10-21 16:29:21","4","270","<training><data-science-model><annotation>","1",""
"62046","2019-10-21 16:54:20","2","83","<text-mining><lda>","0","0"
"62047","2019-10-21 17:25:46","2","79","<classification><class-imbalance>","2",""
"62057","2019-10-21 21:30:43","1","190","<statistics><ab-test>","3",""
"62058","2019-10-21 21:46:14","1","134","<nlp><dataset><stanford-nlp>","1",""
"62062","2019-10-22 04:12:55","1","16","<predictive-modeling><cnn><machine-learning-model>","0",""
"62063","2019-10-22 04:59:52","1","146","<r><clustering>","1",""
"62066","2019-10-22 08:18:37","1","30","<classification><multilabel-classification><weight-initialization>","1",""
"62067","2019-10-22 08:41:44","1","1393","<python><keras><object-detection><jupyter><pickle>","2",""
"62071","2019-10-22 11:23:36","2","20","<machine-learning><scikit-learn><time-series><unsupervised-learning><anomaly-detection>","0",""
"62080","2019-10-22 14:10:27","0","159","<geospatial>","1",""
"62086","2019-10-22 15:35:49","2","1627","<python><deep-learning><keras><lstm><multilabel-classification>","1",""
"62087","2019-10-22 15:52:25","0","232","<machine-learning><time-series><clustering><unsupervised-learning>","1",""
"62096","2019-10-22 19:01:03","1","261","<tensorflow><nlp><word-embeddings>","1",""
"62101","2019-10-22 20:36:42","4","890","<xgboost>","3",""
"62103","2019-10-22 23:52:38","5","280","<pca>","1",""
"62104","2019-10-23 00:11:37","1","6540","<python>","1",""
"62108","2019-10-23 04:57:51","1","206","<cnn><gensim><cosine-distance><siamese-networks><semantic-similarity>","1",""
"62112","2019-10-23 06:24:50","1","2618","<machine-learning><nlp><algorithms><k-nn>","1",""
"62114","2019-10-23 08:30:43","1","390","<machine-learning><neural-network><deep-learning><cnn>","1",""
"62121","2019-10-23 09:57:45","0","71","<neural-network><classification><pca>","1",""
"62123","2019-10-23 10:48:06","0","43","<deep-learning><classification><keras><predictive-modeling><ensemble-modeling>","1",""
"62126","2019-10-23 12:39:58","1","22","<data-science-model><data-analysis><monte-carlo>","0",""
"62127","2019-10-23 13:44:00","1","221","<time-series><collinearity>","1",""
"62128","2019-10-23 14:20:04","0","6544","<python><plotting><seaborn>","0",""
"62131","2019-10-23 15:19:29","0","823","<machine-learning><python>","2",""
"62132","2019-10-23 15:46:07","1","1468","<machine-learning>","2",""
"62612","2019-11-03 18:25:00","1","50","<tensorflow>","1",""
"62616","2019-11-03 19:57:27","1","78","<python><neural-network><keras><recommender-system><embeddings>","0",""
"62617","2019-11-03 20:59:44","1","231","<forecasting><time>","0",""
"62623","2019-11-04 03:08:08","0","1075","<machine-learning><classification><multilabel-classification>","3",""
"62624","2019-11-04 03:15:54","1","304","<dataset><visualization><graphs>","1",""
"62628","2019-11-04 05:10:24","0","146","<python><logistic-regression><gradient-descent>","1",""
"62630","2019-11-04 05:27:49","0","27","<data-analysis>","1",""
"62634","2019-11-04 06:37:49","1","1072","<xgboost><multilabel-classification>","1",""
"62640","2019-11-04 10:47:03","1","78","<machine-learning><feature-selection><model-selection>","1",""
"62645","2019-11-04 12:03:16","1","378","<cross-validation><overfitting><sampling>","2",""
"62649","2019-11-04 12:55:42","3","1053","<machine-learning><svm><least-squares-svm>","2",""
"62651","2019-11-04 13:17:35","0","48","<machine-learning><python><neural-network><keras><mathematics>","1",""
"62653","2019-11-04 13:58:34","0","657","<python><keras><tensorflow><machine-learning-model><colab>","0",""
"62655","2019-11-04 14:12:09","0","162","<machine-learning>","1",""
"62657","2019-11-04 15:00:09","1","24","<python><classification><nlp><word2vec>","1",""
