Id,PostTypeId,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"106600","1","2022-01-01 00:20:53","4","2479","<python><keras><tensorflow><regression>","1",""
"106602","1","2022-01-01 03:32:55","3","137","<deep-learning><word-embeddings><deepmind>","1",""
"106603","1","2022-01-01 06:18:52","0","55","<logistic-regression><sigmoid>","1",""
"106607","1","2022-01-01 15:07:25","1","21","<machine-learning><python><pandas><statistics><class-imbalance>","0",""
"106609","1","2022-01-01 15:40:23","0","27","<nlp><data-science-model><bert>","0",""
"106613","1","2022-01-01 19:14:59","0","122","<class-imbalance><pipelines><imbalanced-learn><methodology><oversampling>","1",""
"106614","1","2022-01-01 19:45:24","0","50","<decision-trees>","0",""
"106615","1","2022-01-01 19:46:13","2","284","<machine-learning><python><deep-learning><machine-learning-model><azure-ml>","2",""
"106616","1","2022-01-01 20:35:57","1","42","<normalization><k-nn>","1",""
"106618","1","2022-01-01 23:05:11","1","58","<deep-learning><neural-network><backpropagation>","0",""
"106621","1","2022-01-02 02:05:58","0","134","<neural-network><keras><tensorflow>","0",""
"106626","1","2022-01-02 12:48:33","0","381","<machine-learning><python><classification><cross-validation><pipelines>","1",""
"106627","1","2022-01-02 12:56:54","6","81","<scikit-learn><svm><optimization>","2",""
"106629","1","2022-01-02 15:45:13","0","392","<deep-learning><neural-network><keras><preprocessing><tokenization>","2",""
"106631","1","2022-01-02 16:06:30","0","53","<machine-learning><data-cleaning><bias>","1",""
"106634","1","2022-01-02 18:50:04","0","315","<machine-learning><deep-learning><classification><nlp>","1",""
"106642","1","2022-01-02 22:22:46","1","199","<machine-learning><classification><class-imbalance>","1",""
"106644","1","2022-01-03 03:21:51","0","3360","<machine-learning><deep-learning><transfer-learning>","1",""
"106645","1","2022-01-03 04:18:20","1","1425","<logistic-regression><gradient-descent>","2",""
"106650","1","2022-01-03 09:01:37","0","591","<machine-learning><deep-learning><neural-network><inception><pooling>","1",""
"106652","1","2022-01-03 09:16:31","0","41","<regression><anomaly-detection><outlier><anomaly>","1",""
"106658","1","2022-01-03 14:16:54","0","1188","<machine-learning><scikit-learn><data-science-model><numpy>","1",""
"106664","1","2022-01-03 17:29:13","2","31","<nlp><word2vec><bert>","0",""
"106666","1","2022-01-03 18:37:39","1","50","<machine-learning><predictive-modeling><data-science-model><sports>","1",""
"106667","1","2022-01-03 21:46:20","2","26","<machine-learning>","0",""
"106669","1","2022-01-03 23:35:01","1","240","<machine-learning><python><tensorflow><computer-vision><data-science-model>","0",""
"106670","1","2022-01-04 00:24:48","1","20","<python><preprocessing><normalization>","0",""
"106673","1","2022-01-04 02:23:01","1","67","<python><preprocessing><one-hot-encoding><ensemble-learning>","0",""
"106676","1","2022-01-04 05:03:38","0","245","<deep-learning><computer-vision><object-detection><3d-object-detection>","0",""
"106679","1","2022-01-04 07:51:31","0","59","<data-cleaning>","1",""
