cif,company_group,income_type,length_of_residence_year,edu_level_group,current_job_group,total_income,estimated_income,collateral_value,dependence,marriage_status,age,gender,loan_amount,interest,duration,time_in_job,time_in_current_job,labor_contract_date,is_bad,created_at
9000005389,tổ chức ngoài công lập,tiền mặt,4,đại học,business,19394204,3761117.912,706688000,1,có gia đình,32,1,350000000,0.1,180,tu3den4nam,0,,FALSE,38:03.0
100055601,tổ chức ngoài công lập,khác,15.5,trung cấp,business,20000000,6640473.611,900738000,1,có gia đình,56,1,400000000,0.1,84,tu4den5nam,0,,FALSE,30:21.0
100066843,doanh nghiệp khác,tiền mặt,14,cao đẳng,white_staff,44000000,21492102.35,4266276400,7,có gia đình,41,2,2000000000,0.1,180,tu1den3nam,0.83,01/06/2020,FALSE,09:08.0
120013409,tổ chức ngoài công lập,khác,46,trung cấp,unknown,45500000,11820656.29,3958707960,1,có gia đình,46,1,1100000000,0.1,180,tu5,0,,FALSE,07:51.0
130039729,tổ chức ngoài công lập,tiền mặt,13.25,trung cấp,unknown,157833333,43157894.74,11822153000,1,có gia đình,50,1,3000000000,0.12,228,tu1den3nam,0,,FALSE,30:38.0
130045461,tổ chức ngoài công lập,tiền mặt,21.16666667,trung cấp,business,39958333,22666666.67,2495296500,1,độc thân,41,2,1700000000,0.11,240,tu5,0,,FALSE,28:43.0
130068406,tổ chức ngoài công lập,khác,20,trung cấp,unknown,16500000,6447630.706,1059596400,1,có gia đình,43,2,600000000,0.1,180,tu1den3nam,0,,FALSE,05:45.0
420000130,tổ chức ngoài công lập,tiền mặt,9.25,đại học,unknown,402386459,51126050.42,8417760000,2,có gia đình,50,1,3600000000,0.12,238,tu3den4nam,0,,FALSE,14:43.0
130075833,tổ chức công,chuyển khoản,12.25,đại học,white_manager,23845905,7388888.889,817000000,2,có gia đình,46,1,200000000,0.11,36,tu5,9.46,28/03/2013,FALSE,32:13.0
130083632,tổ chức ngoài công lập,tiền mặt,18.83333333,cao đẳng,unknown,20000000,8300592.013,1333160000,1,có gia đình,47,2,500000000,0.1,84,tu3den4nam,0,,FALSE,17:31.0
110042608,tổ chức ngoài công lập,khác,0,trung cấp,unknown,15000000,4980355.208,1097758000,1,có gia đình,49,1,300000000,0.1,84,tu5,0,,FALSE,08:03.0
230001352,tổ chức công,chuyển khoản,29,đại học,white_staff,22000000,12916666.67,1847288000,1,có gia đình,50,2,500000000,0.11,60,tu5,1.85,02/07/2020,FALSE,21:17.0
480001803,doanh nghiệp lớn,chuyển khoản,2,đại học,white_manager,123024754,32000000,3737986400,1,độc thân,38,1,2400000000,0.11,240,tu1den3nam,0.64,04/01/2022,FALSE,01:47.0
800004170,tổ chức ngoài công lập,khác,4,đại học,unknown,21000000,13920704.99,9625883680,1,khác,55,2,1000000000,0.1,110,tu5,0,,FALSE,23:43.0
120050693,doanh nghiệp khác,tiền mặt,19,đại học,white_staff,30000000,3443544.279,2681000000,1,có gia đình,45,2,300000000,0.1,156,tu5,6.71,15/05/2014,FALSE,45:41.0
610002564,doanh nghiệp khác,tiền mặt,13.5,cao đẳng,white_manager,29500000,4980355.208,2702000000,2,có gia đình,45,1,300000000,0.1,84,tu5,9.28,15/08/2012,FALSE,01:37.0
500007727,doanh nghiệp lớn,chuyển khoản,6.833333333,đại học,white_staff,79313895,41333333.33,4538300000,1,có gia đình,35,1,3100000000,0.12,300,tu4den5nam,5.03,04/10/2017,FALSE,45:31.0
3000003446,tổ chức công,tiền mặt,10.75,cao đẳng,white_staff,41000000,13333333.33,2050828200,2,khác,39,2,1000000000,0.11,240,tu5,16.99,26/07/2005,FALSE,13:09.0
600011037,doanh nghiệp khác,tiền mặt,35,đại học,white_staff,106000000,10746051.18,8922455800,1,độc thân,35,2,1000000000,0.1,180,duoi1nam,0.53,07/08/2021,FALSE,56:58.0
600012021,tổ chức ngoài công lập,khác,28,cao đẳng,unknown,30000000,4380952.381,2493216000,1,có gia đình,57,2,200000000,0.12,84,tu5,0,,FALSE,34:25.0
