Customer_ID,CRM_Channel,DT_TO_EKYC,DT_TO_CREATE_ACC,DT_TO_FT,TRANS_CNT,First_Transaction_Range,Nationality,AGE_GROUP_range,SCORE_Liveness,SCORE_Matching,SCORE_Sanity,SCORE_Tampering,LABEL
100071,RB,224,2,0,1,4 - HIGH,VIETNAMESE,-21,0.66,0.24,0.38,0.29,FRAUD
100107,Partnership,5,1,3,1,4 - HIGH,VIETNAMESE,30-33,0.97,0.94,0.94,0.86,NORMAL
100208,Digital Direct Sale,3,14,12,1,4 - HIGH,VIETNAMESE,26-29,0.94,0.87,0.9,0.88,FRAUD
100331,Telesale,7,4,5,1,3 - MEDIUM HIGH,VIETNAMESE,30-33,1,0.93,0.91,0.91,NORMAL
100406,Ecosystem,29,77,30,1,4 - HIGH,VIETNAMESE,30-33,0.91,0.87,0.96,0.97,NORMAL
100461,RB,1,7,35,1,3 - MEDIUM HIGH,FOREIGNER,26-29,0.92,0.96,0.94,0.94,NORMAL
100503,Ecosystem,26,1,14,1,4 - HIGH,VIETNAMESE,-21,0.86,0.92,0.91,0.95,NORMAL
100578,Telesale,23,64,14,1,4 - HIGH,VIETNAMESE,22-25,0.91,0.97,0.96,0.87,NORMAL
100772,RB,5,10,72,1,4 - HIGH,VIETNAMESE,26-29,0.88,0.92,0.89,0.99,NORMAL
100816,Digital Direct Sale,2,2,5,1,4 - HIGH,VIETNAMESE,22-25,0.95,0.94,0.85,0.87,NORMAL
101205,Partnership,79,6,1,1,4 - HIGH,VIETNAMESE,26-29,0.91,0.93,0.88,0.95,FRAUD
101305,Partnership,50,93,31,1,3 - MEDIUM HIGH,VIETNAMESE,-21,0.94,0.94,0.97,0.92,NORMAL
101341,Digital Direct Sale,37,6,10,1,3 - MEDIUM HIGH,VIETNAMESE,-21,0.89,0.95,0.88,0.86,NORMAL
101353,Telesale,2,4,0,1,4 - HIGH,VIETNAMESE,-21,0.89,0.96,0.97,0.87,NORMAL
101441,Ecosystem,7,2,14,1,3 - MEDIUM HIGH,VIETNAMESE,26-29,0.86,0.99,0.88,0.95,NORMAL
101469,Digital Direct Sale,31,86,21,1,3 - MEDIUM HIGH,VIETNAMESE,30-33,0.97,0.98,0.86,0.99,FRAUD
101542,RB,194,35,26,1,3 - MEDIUM HIGH,VIETNAMESE,26-29,0.01,0.86,0.61,0.65,NORMAL
101574,Telesale,2,7,28,1,4 - HIGH,VIETNAMESE,26-29,0.98,0.87,0.88,0.87,NORMAL
101593,RB,0,0,27,1,4 - HIGH,VIETNAMESE,26-29,0.88,0.98,0.89,1,NORMAL
101656,Telesale,2,47,25,1,3 - MEDIUM HIGH,VIETNAMESE,22-25,0.87,0.95,0.86,0.94,NORMAL
101687,Partnership,2,2,21,1,4 - HIGH,VIETNAMESE,26-29,0.94,0.93,0.91,0.89,NORMAL
101695,Partnership,186,28,4,1,4 - HIGH,VIETNAMESE,26-29,0.96,0.92,0.92,0.99,NORMAL
101696,Digital Direct Sale,0,3,32,1,4 - HIGH,VIETNAMESE,-21,0.88,0.85,0.89,0.87,NORMAL
101741,RB,11,0,20,1,4 - HIGH,VIETNAMESE,22-25,0.97,0.99,0.99,0.9,NORMAL
101969,Ecosystem,18,3,10,1,4 - HIGH,VIETNAMESE,26-29,0.98,0.98,0.99,0.95,FRAUD
102013,Digital Direct Sale,22,1,2,1,4 - HIGH,VIETNAMESE,26-29,0.93,0.93,0.89,0.99,NORMAL
102020,Telesale,5,25,18,1,3 - MEDIUM HIGH,VIETNAMESE,-21,0.97,0.97,0.96,0.87,NORMAL
102130,Partnership,36,23,74,1,4 - HIGH,VIETNAMESE,34+,0.98,0.86,0.88,0.91,NORMAL
102191,RB,44,8,-7,2,4 - HIGH,VIETNAMESE,22-25,1,0.97,0.88,0.95,NORMAL
102192,Telesale,136,63,21,1,4 - HIGH,VIETNAMESE,26-29,0.86,0.93,0.9,0.86,NORMAL
102196,Ecosystem,71,40,29,1,4 - HIGH,VIETNAMESE,-21,1,0.94,0.87,0.97,NORMAL
102343,Ecosystem,10,21,4,1,2 - MEDIUM LOW,VIETNAMESE,-21,0.86,0.89,0.99,0.91,NORMAL
102355,Partnership,21,5,17,2,4 - HIGH,VIETNAMESE,-21,0.37,0.63,0.52,0.49,NORMAL
102365,Partnership,16,20,26,1,3 - MEDIUM HIGH,VIETNAMESE,30-33,0.95,0.92,0.94,0.91,NORMAL
102478,RB,56,32,60,1,3 - MEDIUM HIGH,VIETNAMESE,22-25,0.88,0.93,0.87,0.98,NORMAL
102492,Digital Direct Sale,24,9,23,1,4 - HIGH,VIETNAMESE,-21,0.95,0.94,0.94,0.94,NORMAL
102562,Partnership,21,18,-4,1,3 - MEDIUM HIGH,VIETNAMESE,30-33,0.99,0.92,0.86,0.9,NORMAL
102622,RB,8,0,15,1,3 - MEDIUM HIGH,VIETNAMESE,-21,0.93,0.88,0.93,0.86,NORMAL
102641,RB,45,9,6,2,3 - MEDIUM HIGH,VIETNAMESE,26-29,1,0.89,0.9,0.88,FRAUD
102919,Ecosystem,8,4,26,2,4 - HIGH,VIETNAMESE,26-29,0.93,0.89,0.89,0.98,NORMAL
102980,Partnership,3,19,2,1,4 - HIGH,VIETNAMESE,30-33,0.91,0.89,0.9,0.95,NORMAL
103005,Partnership,0,0,11,1,4 - HIGH,VIETNAMESE,-21,0.97,0.98,0.86,0.93,NORMAL
103073,Partnership,2,89,-30,1,4 - HIGH,VIETNAMESE,-21,0.89,0.89,0.99,0.87,NORMAL
103083,Ecosystem,58,18,7,1,4 - HIGH,VIETNAMESE,22-25,0.98,0.9,0.86,0.94,NORMAL
103146,Partnership,9,0,25,1,3 - MEDIUM HIGH,VIETNAMESE,22-25,0.98,0.89,0.91,0.87,NORMAL
103234,Telesale,43,9,18,1,4 - HIGH,VIETNAMESE,-21,0.89,0.99,0.96,0.88,NORMAL
